Country,31/1/2022,17/2/2022,28/2/2022,4/3/2022,31/3/2022,10/4/2022,12/4/2022,30/4/2022,6/5/2022,8/5/2022,12/5/2022,13/5/2022,15/5/2022,17/5/2022,18/5/2022,19/5/2022,20/5/2022,21/5/2022,23/5/2022,24/5/2022,25/5/2022,26/5/2022,27/5/2022,28/5/2022,29/5/2022,30/5/2022,31/5/2022,1/6/2022,2/6/2022,3/6/2022,4/6/2022,5/6/2022,6/6/2022,7/6/2022,8/6/2022,9/6/2022,10/6/2022,11/6/2022,12/6/2022,13/6/2022,14/6/2022,15/6/2022,16/6/2022,17/6/2022,18/6/2022,19/6/2022,20/6/2022,21/6/2022,22/6/2022,23/6/2022,24/6/2022,25/6/2022,26/6/2022,27/6/2022,28/6/2022,29/6/2022,30/6/2022,1/7/2022,2/7/2022,3/7/2022,4/7/2022,5/7/2022,6/7/2022,7/7/2022,8/7/2022,9/7/2022,10/7/2022,11/7/2022,12/7/2022,13/7/2022,14/7/2022,15/7/2022,16/7/2022,17/7/2022,18/7/2022,19/7/2022,20/7/2022,21/7/2022,22/7/2022,23/7/2022,24/7/2022,25/7/2022,Country_Code
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,3,28,28,28,28,28,43,43,43,43,43,43,43,58,58,58,58,58,58,58,58,77,77,77,77,3,SWE
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,7,7,7,16,16,17,17,33,33,51,52,52,52,66,66,91,91,91,91,91,125,125,183,183,183,183,183,277,277,330,330,331,331,331,440,440,35,90,498,498,498,577,577,721,721,721,721,721,908,908,908,908,908,908,908,1434,1434,1562,1562,1562,1562,35,FRA
Australia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,5,6,6,6,6,6,8,8,8,8,8,8,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,42,12,12,12,12,12,17,20,20,20,24,24,28,28,33,33,33,33,33,41,41,42,42,42,42,42,AUS
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,12,12,12,12,12,26,26,26,40,40,40,40,40,54,54,60,60,60,60,60,80,80,95,95,95,95,95,95,167,167,211,211,211,257,257,257,25,65,257,257,352,352,352,402,402,402,402,503,503,503,549,549,549,549,656,656,656,712,712,712,712,25,NLD
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,6,8,8,8,8,10,12,12,14,14,14,19,20,28,30,31,31,31,40,41,46,52,55,55,55,68,72,81,54,91,91,91,115,121,131,135,140,140,140,163,165,181,189,198,198,198,208,213,216,216,229,229,229,54,CHE
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,11,13,13,16,16,16,29,33,38,45,42,42,42,52,55,55,59,59,59,61,66,73,80,88,88,88,96,96,102,102,105,105,105,114,45,ISR
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4,5,5,8,8,8,10,11,11,12,12,12,12,12,13,13,16,16,16,16,18,18,18,18,26,26,27,27,27,27,54,34,34,34,40,40,40,41,41,41,41,44,44,44,44,46,46,46,46,51,51,54,54,54,54,54,GBR
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,8,8,8,10,12,13,13,13,13,13,16,16,18,59,18,18,18,18,18,18,18,28,28,28,29,29,32,33,37,37,37,43,43,46,48,48,48,48,59,DNK
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,11,11,11,11,12,12,12,20,20,20,20,20,20,99,37,37,37,37,37,37,37,62,62,62,62,62,62,62,83,83,83,83,83,83,83,99,99,99,34,AUT
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,27,9,9,9,12,13,13,14,18,18,18,18,18,19,19,19,19,19,26,26,27,27,27,27,27,27,SVN
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,14,8,8,8,9,9,9,10,11,11,11,11,11,12,12,12,12,12,12,12,12,14,14,14,14,14,CZE
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,ARE
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,8,8,9,9,9,9,24,10,10,10,15,15,15,18,18,18,18,19,19,19,19,20,20,20,20,23,23,24,24,24,24,24,GBR
Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,5,5,15,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,15,15,15,15,15,IRL
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,18,6,6,6,6,6,6,6,9,9,9,9,9,12,13,13,13,13,13,13,13,13,18,18,18,18,ARG
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,13,4,4,4,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,FIN
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,6,6,6,7,7,7,9,9,9,9,9,14,14,14,14,14,14,14,14,28,28,28,28,28,28,28,69,39,39,39,39,39,44,44,44,44,44,44,44,54,54,54,54,54,54,54,69,69,69,69,69,69,IRL
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,17,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,17,17,17,17,17,MLT
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,9,9,9,9,9,9,9,9,9,9,9,11,11,48,11,11,11,27,27,27,27,27,27,27,27,27,27,39,39,39,39,40,40,48,48,48,48,48,48,MEX
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,6,6,6,6,6,6,12,12,12,12,12,12,32,19,19,19,19,19,19,19,24,24,24,24,24,24,24,30,30,30,30,30,30,32,32,32,32,32,HUN
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,15,17,46,17,17,17,17,22,22,25,25,25,25,29,31,33,35,37,38,38,40,44,46,46,46,46,46,46,NOR
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,GIB
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MAR
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,LVA
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,GHA
